"","logFC","logCPM","LR","PValue","FDR","change"
"SOX30",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SNCAIP",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SMYD1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SMLR1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SMAD1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SLITRK5",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SLC6A2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SLC4A10",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SLC2A5",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SLC17A2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SIRPB1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SELENOV",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SEC14L5",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RPS18",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RP13-996F3.5",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"ROBO2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"ROBO1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RNF223",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RNF113B",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RNASE3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RIPK3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RGPD5",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"REC114",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RBMXL3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"RASEF",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PTGES3L-AARSD1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PROC",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PRKAG3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PRKACG",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PPY",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PMEPA1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PLEKHD1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PLA2G3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PIGR",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PGA5",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PF4",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PEX5L",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PDCD1LG2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PCYT1B",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"PCP4L1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"OR9Q2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"OR6N2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"OR6C76",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"OR6B2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"OR10G9",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"OLFML3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"OASL",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"NT5C1B",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"NRXN1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"NPIPB2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"NODAL",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"NMRK2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"NKX2-2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"NGEF",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MYOF",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MX1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MUSTN1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MUSK",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MRO",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MMP21",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MIA",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"METTL27",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"MARCH10",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"LGI3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"KLRK1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"KLHL41",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"KLHL35",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"KLF18",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"KIF1A",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"KCNH8",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"ITK",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"IL37",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"IGF2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"IFIT1B",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"HPR",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"HOXD9",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"HOXD8",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"HNRNPUL2-BSCL2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"HIST1H3G",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
