"","logFC","logCPM","LR","PValue","FDR","change"
"FASTKD2",-0.0223372287741034,5.28930623721141,0.0342280728466342,0.8532225217304,1,"NOT"
"CBWD1",0.0285013352146052,4.27020201387092,0.0341729519764264,0.853339413333235,1,"NOT"
"MED9",-0.0236112319391037,4.63757241935942,0.0341318827334867,0.853426569868102,1,"NOT"
"SLC30A5",-0.0157523623562328,6.42925700478992,0.0341055900003795,0.853482396387074,1,"NOT"
"PRDX4",0.0139894259436215,6.48001788148502,0.0340972426726118,0.853500124654595,1,"NOT"
"SLC13A4",0.0605633600183974,1.28415470839787,0.0340614544334721,0.853576158075911,1,"NOT"
"AMZ2",-0.021027628057162,5.10426223221516,0.0340108795970635,0.853683676626284,1,"NOT"
"PDCD6",0.0144661236877685,6.50109195381098,0.0340034541657914,0.853699469529011,1,"NOT"
"PPP4R1",-0.0138469550009243,7.13190627893491,0.0339956303045912,0.853716111768296,1,"NOT"
"ZFAND2B",0.0365426881900152,4.11252601986845,0.033949283803544,0.853814736660066,1,"NOT"
"RFLNB",-0.0228612600087819,4.68165617278583,0.0339298920175384,0.853856022840855,1,"NOT"
"CSMD1",-0.0228737405392817,5.01964606328195,0.0339230466968239,0.853870599818726,1,"NOT"
"DUOX1",-0.0853976983459461,0.443042956858415,0.0339157903575416,0.853886053713105,1,"NOT"
"PROKR1",0.21596580788273,-1.05434152981522,0.0339065154447313,0.853905809071446,1,"NOT"
"TSC1",0.0181144458472546,5.38610832713738,0.0338411609194207,0.854045092024909,1,"NOT"
"SLC25A43",0.046304518678493,3.02953724844645,0.0338327473223754,0.85406303310325,1,"NOT"
"NR4A2",0.0465792757812594,3.14672321206591,0.0337947096178191,0.854144173157922,1,"NOT"
"ZNF623",-0.0203760940463091,5.02262909304939,0.0337823070030332,0.854170639975982,1,"NOT"
"BACH2",0.0379676238870181,3.46245980403246,0.0337751152870318,0.854185989188674,1,"NOT"
"MAPK1IP1L",0.0152449845661229,6.76518972074185,0.0337610119275382,0.854216094763506,1,"NOT"
"HHEX",0.0154705494363327,6.85441975488708,0.0337185973862049,0.854306673670396,1,"NOT"
"NBPF4",0.0462311388514819,2.71544756805897,0.033660536077134,0.854430762766507,1,"NOT"
"MEX3B",-0.0189142624478395,5.23006848082792,0.0336352635447579,0.854484809979694,1,"NOT"
"ISG20",0.139116074144642,-0.234386019370235,0.0335009693863526,0.854772360858602,1,"NOT"
"EXD2",0.0327444944675212,3.98002310982499,0.0334889564435517,0.854798111994299,1,"NOT"
"SAP130",0.0160844301462233,5.94485089048765,0.0334562470618422,0.854868252548923,1,"NOT"
"SLC36A4",0.0456931035310511,2.69079578988985,0.0334199536549959,0.854946120012722,1,"NOT"
"DNASE1L1",-0.0342882188514014,3.69700114905937,0.0333282665220311,0.855143029490417,1,"NOT"
"SMN2",0.0504633355640504,2.69818385034287,0.03320920520291,0.855399146586955,1,"NOT"
"IVNS1ABP",-0.0140175487136961,7.28727979695935,0.0330637959031179,0.855712586065052,1,"NOT"
"PMM1",-0.027482941433829,4.23467884466311,0.0329407416656506,0.855978394392144,1,"NOT"
"C1R",0.274153761100459,-1.23484381823936,0.0328311998641171,0.856215446416188,1,"NOT"
"IFNGR1",-0.035629895009341,3.78505771280909,0.0327351232356552,0.856423695811627,1,"NOT"
"DDX20",0.0181642724068332,5.83187561745061,0.032627136702601,0.856658137406002,1,"NOT"
"EXOSC1",-0.0256431886986813,4.81741059883008,0.0325946910192769,0.856728656082045,1,"NOT"
"DLK2",-0.0550181413233795,1.51578065144705,0.0324024093077515,0.857147314248229,1,"NOT"
"EDDM13",-0.0546745901582515,1.57162557273353,0.0323588840978406,0.857242260284302,1,"NOT"
"MSANTD4",-0.0237397176453562,4.62130932692895,0.0323310854873604,0.857302934764497,1,"NOT"
"DCTN4",0.0130835662910297,6.83071318716026,0.0322820247874276,0.857410082558141,1,"NOT"
"PSMA1",-0.0269120245913287,4.41695591474658,0.0322646147160297,0.85744812608215,1,"NOT"
"NPIPA1",0.07791545754288,1.78783430665796,0.0322214746411937,0.85754243906359,1,"NOT"
"PTMS",0.0126016409882546,7.70047453868353,0.0321828294515036,0.857626980665482,1,"NOT"
"ZNF318",-0.0162925619833099,5.58838489247876,0.0321778213712376,0.857637940355288,1,"NOT"
"C1orf174",0.0155125811963833,5.88583778532539,0.0320770242536668,0.857858712354137,1,"NOT"
"BCAT2",-0.0140985999675057,6.15978365757523,0.0320506937058678,0.85791644208015,1,"NOT"
"TWIST1",-0.054669421398458,1.51568149839885,0.0320492878689418,0.857919525065711,1,"NOT"
"GPAT3",-0.0430895364502761,3.20854649398539,0.0320448756374527,0.857929201496091,1,"NOT"
"PRR9",0.255932477815857,-1.05446717312544,0.0320070495127132,0.858012185902202,1,"NOT"
"ELP6",0.0143823735564245,6.08983615203702,0.0319849190697337,0.858060759984296,1,"NOT"
"PAK4",0.015785376502102,5.74101325922952,0.0318812745652577,0.858288480306,1,"NOT"
"IRAK1BP1",-0.0443860665814651,3.77822603632124,0.0318726431004137,0.858307461963742,1,"NOT"
"POP4",0.0184501120113041,5.54237516284344,0.0318690852246712,0.858315286944037,1,"NOT"
"WDR77",0.0133875434925914,6.45336713332647,0.0318521976678876,0.85835243458027,1,"NOT"
"ADGRB2",0.190731923223407,-0.894115367418595,0.0318443193546074,0.858369768018088,1,"NOT"
"MTHFD2",0.0161342600326321,7.50256659250863,0.0318369528127675,0.85838597748576,1,"NOT"
"TIGD6",0.0255686221845152,4.33053779409028,0.0317664684392278,0.858541170469725,1,"NOT"
"ABCB1",0.0209748395085096,4.89789609147053,0.0316772035613706,0.858737969667492,1,"NOT"
"CNOT11",0.0156820383412504,6.5464428877524,0.0314770466807559,0.859180291083506,1,"NOT"
"MEIOB",-0.0141813115646196,6.13405675677672,0.0314401262801027,0.859262038821169,1,"NOT"
"BANF1",-0.012077489473122,7.81475993301529,0.0313900310573505,0.859373036945404,1,"NOT"
"SAR1B",-0.0172676528047385,6.10504775271617,0.0313324420030914,0.859500752403094,1,"NOT"
"SPCS1",0.0134429666816916,6.27421816342285,0.0311955926205837,0.859804730216813,1,"NOT"
"FSIP2",0.0485148260854974,3.06835408333452,0.0311766174494323,0.859846933207444,1,"NOT"
"ZNF557",0.0432578836751418,2.89609297162845,0.0311745216939237,0.859851595223823,1,"NOT"
"GABARAP",0.110260395681059,0.0282294655313429,0.0311497664521205,0.859906675588651,1,"NOT"
"INVS",0.0325772726755905,4.01831175021402,0.0310713896628076,0.860081212789221,1,"NOT"
"LIN7B",0.046726830309442,2.34988555951951,0.0310274592529298,0.860179140651655,1,"NOT"
"PPIE",-0.0142917822311721,6.42742452836617,0.0310177132757161,0.860200875668915,1,"NOT"
"TRPC5",-0.0858212249408035,0.381626027334848,0.0308926610059324,0.860480074323011,1,"NOT"
"SOX15",0.0421093223486381,3.14702533263725,0.0308094550912958,0.860666167355035,1,"NOT"
"ATP6V1G1",0.0159991070432082,6.35182651586582,0.0307893353269604,0.860711204812321,1,"NOT"
"DLG5",0.0136882013997024,6.22401849532273,0.0307727015802381,0.860748450384317,1,"NOT"
"RHBDF2",0.0569250173940285,1.3171519479124,0.0307033906498635,0.860903760253522,1,"NOT"
"ERVMER34-1",-0.0408599863400889,3.17584010297218,0.0306245996180013,0.861080532456728,1,"NOT"
"ZSWIM3",0.0503090976957311,2.22342983585055,0.0305965215214741,0.861143583909844,1,"NOT"
"GGT7",0.0255694761545651,4.60864272619437,0.0305778516599573,0.861185524977159,1,"NOT"
"MBTPS2",-0.0289065254877856,4.2202810652575,0.0305165484388517,0.861323332990363,1,"NOT"
"PLCB4",-0.0896208996620874,0.250904703103753,0.0304644187168295,0.861440631483994,1,"NOT"
"KAT14",0.0413916582667003,2.84121184778022,0.0304007834201593,0.861583959242055,1,"NOT"
"CASP3",-0.021865092123978,4.90831095080633,0.0303918662876832,0.861604055919822,1,"NOT"
"EXT2",0.0157715718451849,5.94305793646724,0.0303104744364999,0.861787630565032,1,"NOT"
"RBM27",0.0200482311623646,5.05593935674398,0.0301609132226137,0.862125620540081,1,"NOT"
"DPH6",0.0350094251277338,3.5131808528151,0.0301090158892019,0.862243103825616,1,"NOT"
"CELF5",-0.0850475302743372,0.317461835636668,0.0299810925360874,0.862533138187986,1,"NOT"
"CC2D1B",0.0167845724836112,5.86488807410802,0.0299677713385158,0.862563377297111,1,"NOT"
"SLC12A6",-0.0180088828983876,5.21238711907402,0.0298236313357636,0.862891018696026,1,"NOT"
"INTS2",0.0189184831662576,5.54591662498745,0.0297601847922024,0.863035496025666,1,"NOT"
"FAM160B2",0.0232607058754622,5.01956367048773,0.0297432096257424,0.863074177920544,1,"NOT"
"MXRA7",-0.0225443371989423,5.193207388351,0.0297197929093755,0.863127557056179,1,"NOT"
"TXK",-0.0470126533420597,2.21540332227819,0.029710960311057,0.863147696863717,1,"NOT"
"GANAB",-0.00357460554514347,9.34446339961943,0.029702486087158,0.863167022415091,1,"NOT"
"SNRPA1",-0.0165568149825013,6.34580567495375,0.02957565092035,0.86345661116525,1,"NOT"
"GOLGA6L9",0.172943445810666,-0.893925014691097,0.0295457949723922,0.863524870867573,1,"NOT"
"ALDH5A1",0.0131206640853458,6.29478634320369,0.0295190289932412,0.863586096160495,1,"NOT"
"ZNF681",0.0309959038644573,3.7835739730857,0.0293279591046129,0.864023987693071,1,"NOT"
"IFFO1",0.196594557918094,-1.05415090453358,0.029268022689716,0.86416165156743,1,"NOT"
"JAZF1",0.196587618399632,-1.05415090453358,0.0292613778308355,0.864176922622369,1,"NOT"
"NCF2",0.196580897600543,-1.05415090453358,0.0292549430970976,0.864191712473751,1,"NOT"
"WDR61",0.0127964478900385,6.47983805258434,0.0292449103271242,0.864214775537025,1,"NOT"
"MYO5A",-0.0918450899199021,0.180584759181694,0.0291903221919956,0.864340332689263,1,"NOT"
"TPRKB",-0.0209403880425657,4.89452789926702,0.0290728363912898,0.864610970090936,1,"NOT"
"USH2A",0.171211182664081,-0.893946638053394,0.0290710591897969,0.864615068325172,1,"NOT"
"EFCAB14",-0.0143658040557126,6.34712551619734,0.029022624036612,0.864726809666968,1,"NOT"
"EML6",-0.091016330901409,0.180616732195759,0.0290218469213062,0.864728603276898,1,"NOT"
"BARHL1",0.195443896268701,-1.05416173327371,0.0289861311905355,0.864811063142923,1,"NOT"
"TTC25",0.195437630213354,-1.05416173327371,0.028980359664408,0.864824393248632,1,"NOT"
"CCDC30",0.195436581375143,-1.05416173327371,0.0289793936572749,0.864826624503765,1,"NOT"
"RAB34",0.195431804734861,-1.05416173327371,0.0289749944463993,0.864836786156849,1,"NOT"
"SSRP1",0.00729849674083918,8.80561432306638,0.0289229353620328,0.864957096766679,1,"NOT"
"LEAP2",-0.0461282648965586,2.00845409335234,0.0287447799176916,0.865369666272766,1,"NOT"
"KCNE1",0.24235004338068,-1.23465294142701,0.0286694495453044,0.865544510715066,1,"NOT"
"GPM6B",-0.0531507242314423,1.4274613247146,0.0286411295258375,0.865610303581709,1,"NOT"
"ADH5",0.0117769018435555,7.16262674231544,0.0286019941074756,0.865701277796338,1,"NOT"
"KIF26B",0.0642215622425866,0.880162494598872,0.0284185045498977,0.866128673904001,1,"NOT"
"CCDC28B",0.0186122010268418,5.00119900471073,0.0283758011522046,0.866228344892437,1,"NOT"
"OXCT1",0.0140373370680706,6.33528705288639,0.0283235112461142,0.866350496173743,1,"NOT"
"C1orf162",0.0898322173839859,0.18032502363113,0.0283078621525508,0.866387075612245,1,"NOT"
"MPZL1",-0.0126770036622161,6.76279085177336,0.0282776492396053,0.866457727108267,1,"NOT"
"CACUL1",-0.0170798493233887,5.21823427327452,0.0282749202096805,0.866464110728956,1,"NOT"
"EPS15",0.012745668593302,6.62629425011677,0.0281422843248436,0.866774749176215,1,"NOT"
"HSPB9",-0.0853226546616538,0.250405590488441,0.0280752963707791,0.866931923656792,1,"NOT"
"CNBP",-0.00850891969636873,8.57638127976605,0.0280319924921359,0.867033630571514,1,"NOT"
"PIK3IP1",0.048698699857303,1.70314963604596,0.0280147916384654,0.867074052266308,1,"NOT"
"MBNL1",-0.01316448502675,8.05212753545765,0.0280129209458178,0.867078449129223,1,"NOT"
"TIAL1",0.013165128556755,6.57647124333306,0.0279738780531371,0.86717024973968,1,"NOT"
"RARRES1",0.195643234673246,-0.894126177749034,0.0279525609276225,0.867220399977219,1,"NOT"
"RABEP2",-0.0339530471017074,3.72997698180089,0.0276449905048146,0.867946183435691,1,"NOT"
"CXCL2",0.189817759559823,-0.749963335543207,0.0276130362683737,0.868021824264049,1,"NOT"
"LINC00094",-0.0260747912714063,4.4141758848578,0.0276078170066789,0.868034183369923,1,"NOT"
"CENPT",-0.0142738261832401,7.10823137192161,0.0271295712441493,0.869171798456813,1,"NOT"
"PITPNM2",-0.0215443398963513,4.78285342518669,0.02711181454977,0.869214234278659,1,"NOT"
"POMT2",-0.0290201374633446,4.54314785103798,0.0270916114793636,0.869262533932426,1,"NOT"
"PMS1",-0.02247346253919,4.75128292994571,0.0270146245902616,0.869446756900489,1,"NOT"
"RCBTB2",-0.0520089520614386,1.39661077994407,0.0269623093900533,0.869572096536783,1,"NOT"
"DBR1",-0.0195992505296038,4.92578123174865,0.0268798241181365,0.869769973227275,1,"NOT"
"SIMC1",0.0198081412030816,4.76588729197135,0.0268682707755441,0.869797713808423,1,"NOT"
"CD36",-0.0836846862219602,0.250271169240409,0.0268680069750626,0.86979834728785,1,"NOT"
"G6PC3",-0.0149127610406764,5.72638722253669,0.0267922038911728,0.869980510123213,1,"NOT"
"GADD45GIP1",0.0130070656635612,7.5012454285493,0.0267118738679528,0.870173840682806,1,"NOT"
"DNAH11",-0.0349142187756225,3.3009766811806,0.0265048618859229,0.870673437121326,1,"NOT"
"HSFX4",-0.0796418620655851,0.380983652449048,0.0265042428329032,0.870674934122997,1,"NOT"
"NBDY",-0.0519617350510109,1.36582766908693,0.026452248873301,0.870800730672319,1,"NOT"
"ZNF91",0.0396468688602381,3.13535508579122,0.0264498856374207,0.870806451406411,1,"NOT"
"HIST1H1D",0.0522236727111556,1.35093379989054,0.0263456242646374,0.871059100662617,1,"NOT"
"ZNF662",0.192768450242151,-0.749974128923994,0.0262594444178248,0.87126832182518,1,"NOT"
"SPIB",-0.052179062681192,1.33475187616065,0.0261755541253139,0.871472323261885,1,"NOT"
"METTL12",-0.0267718658500835,4.12286907533852,0.0259597670217078,0.871998613056573,1,"NOT"
"NPIPB5",-0.0194589784112782,4.83643466204711,0.0259473469772473,0.872028972865398,1,"NOT"
"LRRC8D",-0.021729839136664,4.59154437299406,0.0257822728129966,0.872433193628855,1,"NOT"
"ACRV1",0.0816609464559306,0.250447009090016,0.0257726284841446,0.872456850897082,1,"NOT"
"ENDOG",-0.0137045082975022,6.81059919567684,0.025719465423867,0.872587339967069,1,"NOT"
"LYG2",0.0815939026287985,0.250436370042902,0.0256902605198459,0.872659082462767,1,"NOT"
"RANGRF",-0.0291847270677886,3.78375072271913,0.0256769313718106,0.872691839711949,1,"NOT"
"MAP2K2",-0.0114675634699762,7.34791349623664,0.0256725772076365,0.872702542243487,1,"NOT"
"PHF2",-0.0159694415752756,5.54124674797486,0.0256056778006126,0.872867098099214,1,"NOT"
"THRAP3",-0.0110346424904571,7.97737847407316,0.0256037496823325,0.872871844056035,1,"NOT"
"CDC42EP3",-0.0461735124257078,2.10623243225551,0.0255795854488041,0.872931338532814,1,"NOT"
"GNRHR",0.0832359813001561,0.250238118977856,0.0255769673785391,0.872937786183101,1,"NOT"
"NCKAP1",0.0143597164699215,7.26714435643473,0.0255738138375676,0.872945553012766,1,"NOT"
"CGN",0.239016059803918,-1.23464209677172,0.0255115654246278,0.873098964751937,1,"NOT"
"KIRREL3",0.239006485724838,-1.23464209677172,0.0255053030835093,0.873114408965563,1,"NOT"
"ARHGDIG",0.239001754586579,-1.23464209677172,0.0255022087454195,0.873122040953715,1,"NOT"
"PLXDC2",-0.0840782789916398,0.17993976656575,0.025361082882369,0.873470624959868,1,"NOT"
"WDCP",-0.0139098620819773,5.71839737913906,0.025346714211376,0.873506171617203,1,"NOT"
"KLHL10",-0.0851695571856076,0.180138279080298,0.0253382519509477,0.873527111238413,1,"NOT"
"EXOG",0.0308859074566802,3.82798914173795,0.0253056479781666,0.873607822371791,1,"NOT"
"SFXN3",-0.0511600440710921,1.33359937977082,0.0251936532111583,0.8738854722515,1,"NOT"
"RUFY1",0.0170407322098738,5.30280351411869,0.0251553586671776,0.873980554610361,1,"NOT"
"ZNF691",-0.0329236983857207,3.97059887477654,0.0250658104176207,0.874203185917793,1,"NOT"
"GZF1",-0.0263751298945123,4.15934898516809,0.0250584226880259,0.874221571187952,1,"NOT"
"PYROXD2",-0.0863227341827513,0.106174682119605,0.0249941010041016,0.874381761108792,1,"NOT"
"C1QL4",-0.0984030356406647,-0.0538064365461188,0.0249262727574724,0.874550912979951,1,"NOT"
"FBXL12",-0.0154477056954213,5.36780063865413,0.0249111701354054,0.874588608393845,1,"NOT"
"DDX6",0.0118818434002704,7.58794917584345,0.0248350179619923,0.87477885918358,1,"NOT"
"RBFOX3",0.234859593418775,-1.23466378600252,0.0247469932440074,0.874999143973807,1,"NOT"
"PLXNA3",-0.013921050304706,5.67245855879747,0.0247446556790396,0.875004999275872,1,"NOT"
"TMPRSS3",0.234851535541754,-1.23466378600252,0.0247420502775397,0.875011525808277,1,"NOT"
"LRRC8B",-0.0145641281028104,5.55212150285527,0.0246966809418998,0.875125232527639,1,"NOT"
"LIPT2",0.0587653869399568,0.924635735094659,0.0246260910307166,0.875302361222291,1,"NOT"
"BTD",0.0315078194938548,3.50179245157804,0.0245564695746185,0.875477314780571,1,"NOT"
"AC025594.2",0.042627109558205,2.22435733079915,0.0245416443401141,0.875514602298555,1,"NOT"
"NXF1",-0.0127628234229541,6.59272425834037,0.024521617112427,0.875564991876994,1,"NOT"
"B2M",-0.0105298995636381,8.13241643747016,0.0244998020036036,0.875619903854722,1,"NOT"
"GDPD3",0.0500143045667182,1.38179851638546,0.0244046261372013,0.875859769631283,1,"NOT"
"PSMC1",0.0137018495818845,7.06215675978696,0.0243996917527056,0.875872218505147,1,"NOT"
"TMEM41A",0.0121696761068388,6.28018079632183,0.0243574425656794,0.87597886108355,1,"NOT"
"ZRSR2",0.0305070537054241,3.6027430420207,0.0243429834383204,0.876015379605362,1,"NOT"
"METTL22",0.0260642305097109,4.25743546950684,0.0243211774604575,0.876070474629513,1,"NOT"
"DIEXF",-0.0140430704437739,5.70525666126195,0.0242554833254989,0.876236610644923,1,"NOT"
"XRCC3",-0.0123329895754929,6.19622407618789,0.0240695437050347,0.876708092457695,1,"NOT"
"OR2T8",0.1713738438689,-0.893957449616266,0.0240684848806849,0.876710782618951,1,"NOT"
"LYN",0.0116826768549236,6.99457412788142,0.0239825909566118,0.876929216019451,1,"NOT"
"TCEAL3",0.212254168422146,-0.894072125308488,0.0239742090759458,0.876950553080364,1,"NOT"
"ASPRV1",-0.0821799756740445,0.179762583451494,0.02391198192027,0.877109079183271,1,"NOT"
"ZNF8",0.0286301541684348,4.33795974826518,0.0238904421607087,0.877164001757381,1,"NOT"
"KREMEN1",-0.0191671743458696,4.82232505520585,0.0238879895248463,0.87717025715205,1,"NOT"
"PRRG1",-0.0442289142812013,1.85935711476022,0.0238095846017727,0.877370400749478,1,"NOT"
"RNLS",0.191684994677763,-1.05414007571413,0.023791327878508,0.877417052942298,1,"NOT"
"RMI1",0.0315502008959864,4.21310038501708,0.0237527470914207,0.877515700411981,1,"NOT"
"WDR54",-0.0508640725306742,1.26905273781471,0.0236993671682058,0.877652323232404,1,"NOT"
"G3BP2",0.0110126356833635,7.25188825730368,0.0235648005564748,0.877997439299732,1,"NOT"
"TNFAIP2",-0.0124333033057891,6.09300167663014,0.0234432442520696,0.87831005658888,1,"NOT"
"NAA20",0.0144795031721812,5.65413986994719,0.0233953629968155,0.87843342478798,1,"NOT"
"PINLYP",0.211504940939743,-1.05435235715725,0.0233779891172587,0.878478221308021,1,"NOT"
"NBN",-0.0131572166355564,6.20371317661175,0.0232995593035845,0.878680655763164,1,"NOT"
"PDIA3",0.00698487706156368,8.6800944311316,0.0232963678776699,0.878688900499349,1,"NOT"
"SNAI3",0.0370742057626548,2.74114871303855,0.0232093272412723,0.878913984669491,1,"NOT"
"ZKSCAN1",0.0115318444719206,6.40950608667927,0.0231629690739261,0.879034041609072,1,"NOT"
"FGFBP3",-0.041861011617058,2.69690049563964,0.0230200774818758,0.87940487319337,1,"NOT"
"ENTPD6",-0.0165652411713528,5.51561856623698,0.0229964630602311,0.879466270486753,1,"NOT"
"YAF2",0.0232222305937723,4.15754790238761,0.0229264080658995,0.879648602851907,1,"NOT"
"ZNF34",0.0433998691648307,1.75264457592475,0.0229161447618987,0.879675339106642,1,"NOT"
"NKX3-2",0.187376341870441,-1.05417256193451,0.0228806691964272,0.879767801358196,1,"NOT"
"GJC1",0.187363843157698,-1.05417256193451,0.0228707173254421,0.879793752727605,1,"NOT"
"BTN1A1",0.187359448387887,-1.05417256193451,0.022867218546899,0.879802877820714,1,"NOT"
"EHD2",0.0138078235348285,5.56862025968478,0.0228361231809058,0.879884008405578,1,"NOT"
"ANGEL2",0.0185306217420111,4.81189200271556,0.0227507752290066,0.880106979622151,1,"NOT"
"CDC42",-0.0112078909721277,8.04955401364284,0.0227224630896785,0.880181039439434,1,"NOT"
"STAC3",-0.0496826000303447,1.26775558582012,0.0227065963351869,0.880222564846861,1,"NOT"
"ZNF730",-0.0841994770107514,0.180159588096775,0.022573586427586,0.880571254621687,1,"NOT"
"NPTN",-0.0197562325437872,4.64539160029885,0.022531468006477,0.880681888304468,1,"NOT"
"GTF2A2",-0.0113351516804507,6.38421402075629,0.0224799533204729,0.880817347276789,1,"NOT"
"USP45",-0.0195784580988921,4.57645731377625,0.0224014625801443,0.881024045833941,1,"NOT"
"ATOX1",0.0171124748171791,5.13379693077249,0.0223978211118876,0.881033644304499,1,"NOT"
"SYCP2",-0.0981799184793467,-0.141366810234344,0.0223925210518237,0.881047616048386,1,"NOT"
"RPL10",0.00879677814615183,10.1366989819317,0.022279762331209,0.881345266295207,1,"NOT"
"KCNMB3",-0.0178909978609058,5.0531390487976,0.0222177460538155,0.881509299496948,1,"NOT"
"MAP4K2",0.0327705371542268,3.26769620447368,0.0221846279897711,0.881596992716297,1,"NOT"
"SDF2",-0.0142020121737209,5.48254777048535,0.022102054460805,0.881815930723718,1,"NOT"
"ARSB",-0.0286404998037568,3.85488511391084,0.0220709514897575,0.881898506462329,1,"NOT"
"ZNF552",-0.0408013620409339,2.99978671579641,0.021964688778592,0.882181074483431,1,"NOT"
"CDH4",0.041992579487456,1.94676924391773,0.0219357399576898,0.882258174621847,1,"NOT"
"ITSN2",0.0154827620447126,5.41694050458748,0.0219341159577127,0.882262501402403,1,"NOT"
"TRIM3",0.0398453796812192,2.49587761248229,0.0218705685354497,0.88243193783797,1,"NOT"
"IMPA2",0.141467235706326,-0.749604741159397,0.0218603562116941,0.882459190396798,1,"NOT"
"ZNF264",0.035721868258267,3.12040097369469,0.0218357704779639,0.882524826461919,1,"NOT"
"ZCCHC17",-0.012285202007609,5.90913993509642,0.0216985561546235,0.882891840320752,1,"NOT"
"COX7A2",-0.0111835096715032,6.94945842822136,0.0216726431958207,0.882961283949046,1,"NOT"
"AOC2",-0.0490862724628173,1.23393762733415,0.0216243702332335,0.883090762908752,1,"NOT"
"FAM103A1",-0.0185907515647101,4.92035243333592,0.0215832022361924,0.883201301446491,1,"NOT"
"LPCAT1",-0.0180394385800759,4.76990145750655,0.02154633002533,0.883300397002565,1,"NOT"
"TTC13",-0.0343379986517165,3.18968552318493,0.0215003842532466,0.8834239994126,1,"NOT"
"USMG5",-0.011946835909517,6.66738365827889,0.0214844858275427,0.883466800456428,1,"NOT"
"SEPT14",0.0803377933774957,0.180782217584108,0.0214443950451457,0.883574802983191,1,"NOT"
"MRPS9",0.0131018819176028,5.8724443271341,0.0214421380312189,0.883580886328748,1,"NOT"
"FOXD4",0.0372326391604088,2.47258307188804,0.0213042248798589,0.883953227111636,1,"NOT"
"CNRIP1",0.0537484533783481,0.967647209432799,0.0212950943744463,0.883977921222445,1,"NOT"
"STX5",-0.0175762784375375,4.8154440292386,0.0212583092421313,0.884077464078879,1,"NOT"
"MEIOC",0.0203161525914544,4.44932061992321,0.0212451943756236,0.884112974990261,1,"NOT"
"NCK2",-0.0202535618476411,4.67503256293043,0.0211447002840863,0.884385453533445,1,"NOT"
"ZNF558",-0.023773846203156,4.43650751535023,0.0211010179821578,0.884504099374434,1,"NOT"
"EEPD1",0.0466525049878897,1.38324851307281,0.0210889302934518,0.884536952986399,1,"NOT"
"SARM1",0.0307899304671644,3.75007175323611,0.0210739071305337,0.884577798443517,1,"NOT"
"CBR1",0.0234798932987896,4.07163300098431,0.0210680126160274,0.884593828699107,1,"NOT"
"AARS2",-0.0131245435197967,6.65179136894417,0.0210399108108792,0.884670283644838,1,"NOT"
"C4orf3",-0.0165483563746199,4.97336291417004,0.0210398327256791,0.884670496159305,1,"NOT"
"TATDN1",0.0102189531650598,6.90945752467017,0.0208204406872982,0.885269185446891,1,"NOT"
"EIF4ENIF1",0.0151683583348998,5.2005541065453,0.0207413771065932,0.885485727354312,1,"NOT"
"AKT2",-0.0133498703765116,7.66937200574969,0.0207091603319327,0.885574084491988,1,"NOT"
"SCNN1D",0.0707715165617434,0.31781425236836,0.0206981806594958,0.885604213167145,1,"NOT"
"CNR1",0.0386534502595638,2.04782298162022,0.0206859268450608,0.885637847773453,1,"NOT"
"LYSMD3",-0.0148702590046655,5.50408221669382,0.0206460833218003,0.885747281709531,1,"NOT"
"PDZK1",-0.0826301138125465,0.0279073548285864,0.0206299456393322,0.885791636016288,1,"NOT"
"SRPK2",0.0160095719007312,5.31296474315422,0.020546570134826,0.886021075566793,1,"NOT"
"ZNF184",0.0267380494508148,3.83195831771906,0.0205138753348173,0.886111177451224,1,"NOT"
"C6orf52",-0.039868317839275,1.88053323711028,0.0204781371003435,0.88620975044079,1,"NOT"
"GALK2",0.0148536008972072,5.23859393766112,0.0204755335296234,0.886216935023318,1,"NOT"
"JUNB",-0.0107611075154705,7.4520583302533,0.0204618421964016,0.886254724083557,1,"NOT"
"SLC25A51",-0.0294790592398165,4.11949600309482,0.0204008258982302,0.88642329050773,1,"NOT"
"SLIRP",-0.0114970729392798,6.36560960777159,0.0203772211018338,0.886488571193742,1,"NOT"
"PHAX",-0.0188050311244398,4.90321942669131,0.020320712415284,0.886645006753937,1,"NOT"
"ZNF821",-0.0413917180542199,2.64035690246493,0.0202811015851765,0.886754795558236,1,"NOT"
"SLC13A3",0.0325434731972051,3.33340206771145,0.020167859799157,0.88706927106654,1,"NOT"
"NRGN",0.0328715553641867,3.12415745338818,0.0201283238354266,0.887179275549781,1,"NOT"
"MAPK15",-0.036979670297552,2.32607701029627,0.0201173764127081,0.88720975503237,1,"NOT"
"ZNF32",0.0374907746983999,3.23082928965762,0.0200199792510363,0.887481298557815,1,"NOT"
"TMEM143",-0.0336441735714435,3.19253007770423,0.019991733206421,0.887560174570068,1,"NOT"
"ZNF17",0.0400967104890729,1.80005270345651,0.0197841109279862,0.888141704678832,1,"NOT"
"CCDC81",-0.0951392002629581,-0.234552521669626,0.0197160286824247,0.888333073468561,1,"NOT"
"MRPL17",-0.0158512503055836,4.96791062882178,0.0196305268051448,0.888573884077636,1,"NOT"
"COL25A1",-0.0834305816113169,-0.054475243491936,0.0196198320160446,0.888604042868333,1,"NOT"
"C19orf57",0.0264918715047665,3.6681322905687,0.0195685906778182,0.888748657388254,1,"NOT"
"WDR13",-0.0134231768909903,5.47806991268575,0.0194673524775517,0.88903494281268,1,"NOT"
