"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"C9orf66",0.162023782493073,3.1785457058557,0.713776718445843,0.538352384037505,0.954615584555267,-10.0551792414862,"NOT"
"ZNF251",0.0535953718937967,2.88671950513565,0.584246138245885,0.609280819406646,1,-10.0557528586347,"NOT"
"PHOSPHO2",0.0216143024151823,2.26941339300478,0.113088220866443,0.91872065592685,1,-10.0558523075639,"NOT"
"CRY1",0.0663041578177044,5.83033302509215,1.51530838197013,0.248354334855908,0.698808282974591,-10.0565631865668,"NOT"
"LLPH",0.270079338372879,4.35379031531402,1.11591931657521,0.363529949936604,0.812050566737149,-10.0574516477051,"NOT"
"CCDC71L",-0.149456984049346,6.17701586248064,-1.59431329061168,0.23092658323109,0.676124857798813,-10.0584036047862,"NOT"
"HIP1",-0.169007645245179,3.40156238949795,-0.800444223029991,0.494936916802009,0.907451795946337,-10.0589109400252,"NOT"
"PDAP1",-0.209715037539489,8.31385349212319,-2.04131161811396,0.15619393288427,0.545826798188303,-10.0611615765801,"NOT"
"ADAL",0.155818648425626,4.79789166998945,1.24437200212078,0.320964798431826,0.79607417754687,-10.06231961882,"NOT"
"NPLOC4",0.0754224249547519,8.04724062649888,1.98445484253067,0.163824828833369,0.560548392868446,-10.0625651902815,"NOT"
"ZNF518A",0.21667627899702,5.68322623171268,1.47331995646289,0.258250124903572,0.70762746787124,-10.0627495038077,"NOT"
"RAD54L2",0.170174750398187,5.29726859649167,1.37783919196418,0.282521210331566,0.741618177120359,-10.0627885014356,"NOT"
"CCR10",0.13706457901351,2.71699029886328,0.484240271384555,0.668828083660322,1,-10.062804291008,"NOT"
"SNX21",0.0813343278850533,2.57197991085122,0.395716486822877,0.724748005312266,1,-10.0629215933503,"NOT"
"DECR1",0.14605734142605,5.9735634493554,1.54220209960684,0.24225141537447,0.688574058263686,-10.0633857726936,"NOT"
"CDC25C",0.249427140056617,4.44442295965741,1.13769567429028,0.355902271347447,0.812050566737149,-10.0635936025517,"NOT"
"ZNF821",-0.128527148633964,2.57488639390356,-0.397105523215028,0.723848974038727,1,-10.0639888908828,"NOT"
"AFTPH",0.0732897787752496,4.64761345780922,1.19978948964513,0.335086622986134,0.812050566737149,-10.0647606122625,"NOT"
"SLC35A3",0.156235139967375,4.66594611250724,1.20402101436139,0.333717245591358,0.812050566737149,-10.0649143607547,"NOT"
"SLFNL1",0.215733299861773,2.79637837678316,0.522775946701741,0.645407389642908,1,-10.0649610630818,"NOT"
"TMEM18",0.0526811796020672,4.75978163540344,1.23140239343292,0.325003901211869,0.80142864806472,-10.0655376000663,"NOT"
"NPIPB4",-0.0872399996663531,2.77285345625537,-0.511440306071717,0.652236233173175,1,-10.0663119944447,"NOT"
"EBPL",-0.116801796142052,4.06294303907952,-1.01930203608979,0.399520187202897,0.812320279918472,-10.0670104013707,"NOT"
"PALMD",-0.0496672405208249,2.38622637487548,-0.235630891138948,0.832320775648287,1,-10.0670587685569,"NOT"
"RAB21",0.150292062192376,5.66651764903024,1.46592104832457,0.260041602486926,0.709943025056573,-10.0672097573968,"NOT"
"PFDN5",0.130535558893921,7.07751127714823,1.7789448533673,0.195626986193124,0.616577886672409,-10.0684976231824,"NOT"
"BCS1L",-0.181474511251867,5.95117758362885,-1.53290637528024,0.244340529308564,0.691978139485844,-10.0687378139443,"NOT"
"MNS1",-0.0147099476120025,2.29861901652719,-0.0917827803920855,0.933965730799043,1,-10.069215611349,"NOT"
"ADNP2",-0.139045578047136,6.03995330038675,-1.5529394775552,0.239864686849868,0.686622260580988,-10.069397263454,"NOT"
"QSER1",-0.105773639701201,6.46814779557593,-1.64929833490837,0.219658791526051,0.658095913270076,-10.0694534139723,"NOT"
