"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"FBXL16",56.1024536909651,0.258061005801092,0.393071960741733,0.656523567120194,0.511487309120368,0.801267191183922,"NOT"
"DNAJC30",108.597225740523,-0.188631847405655,0.286443656477435,-0.658530371122093,0.510197387957648,0.801267191183922,"NOT"
"CSPG5",42.7923137669305,0.299434288258886,0.45595383497256,0.656720626720699,0.511360569014277,0.801267191183922,"NOT"
"C19orf68",67.9881155357528,-0.228286037751453,0.347204176641487,-0.657497959729829,0.510860782436346,0.801267191183922,"NOT"
"B3GNT2",366.33881963959,-0.103520625608008,0.157627367844114,-0.656742715582135,0.511346363448024,0.801267191183922,"NOT"
"ATG12",423.547143616753,0.102919833828568,0.156537722968943,0.657476241998154,0.510874742393921,0.801267191183922,"NOT"
"AMN",71.9964691988227,0.223775095209597,0.34010152120749,0.657965581615483,0.510560247762699,0.801267191183922,"NOT"
"ALG9",91.0956919414455,0.198797715893561,0.302651546810434,0.656853460650172,0.511275145301111,0.801267191183922,"NOT"
"AKAP10",163.052204003838,-0.151258958285829,0.230197710404664,-0.657082809468135,0.511127671705338,0.801267191183922,"NOT"
"AK3",493.122801557818,0.0884808730708843,0.134679043657432,0.656975804609539,0.511196474140066,0.801267191183922,"NOT"
"SMN1",148.56543657549,-0.154646957464454,0.235787790634292,-0.655873474400175,0.51190553655515,0.801435016847859,"NOT"
"NAT14",471.576931547599,0.0913597952866245,0.139269670758797,0.655992038961964,0.511829246515044,0.801435016847859,"NOT"
"MUS81",621.745830359867,-0.0824765956799783,0.125757824281781,-0.655836693669062,0.511929204220815,0.801435016847859,"NOT"
"GLMP",262.106387940019,0.119870637987478,0.182860804420266,0.65552942505919,0.512126947738095,0.801628645309781,"NOT"
"SFMBT2",364.150604491403,-0.103623127711666,0.15814342007682,-0.655247797608842,0.512308224807133,0.801782646947257,"NOT"
"SF3B5",1416.29051646439,-0.0624977145082267,0.0953950320028799,-0.655146428446504,0.512373481978397,0.801782646947257,"NOT"
"SPSB2",80.1032864124478,-0.2215696569491,0.338297988559997,-0.654954106857791,0.512497302378819,0.801860480044571,"NOT"
"TRIM68",176.442048834124,0.145597087652761,0.222365502787728,0.654764726666029,0.512619244291987,0.801890618430395,"NOT"
"TMEM168",339.103759965656,0.117563244293615,0.179569736248629,0.65469408570517,0.51266473388196,0.801890618430395,"NOT"
"TRAF6",197.274146321375,0.140428266983591,0.214624999327911,0.654295946060973,0.512921157180596,0.801944042369315,"NOT"
"RRNAD1",396.962098241773,0.0982059635018991,0.150093109594397,0.654300279121975,0.512918366097133,0.801944042369315,"NOT"
"PHKG2",400.115901787245,0.0965781218176183,0.147597886046728,0.654332690015917,0.512897489302961,0.801944042369315,"NOT"
"ZNF280D",295.801989979364,0.114283163183995,0.174701358635763,0.654162990353528,0.513006802672926,0.801962107471367,"NOT"
"ZNF70",68.6631669574711,-0.246683132372874,0.377185181379715,-0.654010667838342,0.513104932752411,0.801999681171422,"NOT"
"FAM126B",393.734006732901,-0.0994797599501251,0.152185837547585,-0.653672914334226,0.51332255711136,0.802223990495721,"NOT"
"TBC1D17",238.848545632033,0.129860852009767,0.198711491449475,0.653514555512187,0.513424608831534,0.802267643423203,"NOT"
"CT55",149.270789987058,-0.155834290952641,0.238521171493752,-0.653335257313722,0.513540167335017,0.802332386148128,"NOT"
"COL14A1",29.2259795272362,0.354428497238075,0.542863321960827,0.652887168648412,0.513829021702041,0.802609660276634,"NOT"
"CNOT3",783.854059388774,-0.0721299633879294,0.110488141953629,-0.652829906563201,0.513865941030772,0.802609660276634,"NOT"
"DNAL1",44.317236069666,0.279920224338413,0.428876428002181,0.652682698469476,0.513960858753608,0.802642091350317,"NOT"
"LMBRD2",365.484723106183,0.106157475366289,0.162707693530474,0.652442875090026,0.514115513050613,0.802767788987281,"NOT"
"RPS28",3751.2154505924,-0.0428897869025495,0.0658497692906528,-0.651327823385975,0.514834891387066,0.802964389679193,"NOT"
"PLD2",22.2845571952027,0.408331573173902,0.626917848280584,0.651331867953373,0.514832281079747,0.802964389679193,"NOT"
"HACE1",106.007179252162,0.181469969854992,0.278328545965029,0.651999130113634,0.514401733565396,0.802964389679193,"NOT"
"FGD1",41.3101290486846,-0.300604350339312,0.461125334369671,-0.65189294088606,0.514470239097242,0.802964389679193,"NOT"
"COMMD8",112.566874924309,0.177483697728734,0.272476904238832,0.651371528990823,0.514806684764356,0.802964389679193,"NOT"
"CD63",2154.74712318761,0.0547178819292855,0.0840094924065368,0.651329752886686,0.514833646113394,0.802964389679193,"NOT"
"C17orf67",43.4596256792003,0.281991535028608,0.432841447777538,0.651489214992044,0.514730736835918,0.802964389679193,"NOT"
"ASAP1",448.181653280902,0.0922803921032147,0.141605524949097,0.651672257395232,0.51461262313164,0.802964389679193,"NOT"
"ADAMTS3",334.096306783204,0.104093610639688,0.159855919791138,0.651171447236319,0.514935819642652,0.803006095924516,"NOT"
"TRIM65",712.104818662483,-0.074340371762761,0.114228551034982,-0.650803770941597,0.515173165674828,0.803107234657836,"NOT"
"TNS1",97.6218243741711,-0.195094289005566,0.299810116701172,-0.65072617012461,0.515223266580193,0.803107234657836,"NOT"
"C11orf84",391.254786166728,0.104018589390502,0.159848057795935,0.650734146068226,0.515218117007488,0.803107234657836,"NOT"
"NIPSNAP3A",356.445859770628,0.104419905037839,0.160599639158576,0.650187669069008,0.515571005161771,0.80353355793679,"NOT"
"ZNF720",79.0738667086086,0.209268565118777,0.322492612160814,0.648909640802634,0.516396782881453,0.803790919564692,"NOT"
"SSH2",175.805282642745,-0.144055634891343,0.221766915035623,-0.649581272608689,0.515962733162357,0.803790919564692,"NOT"
"RPS15A",241.491722145208,-0.122353327343578,0.188404549964228,-0.649418113133726,0.516068159429371,0.803790919564692,"NOT"
"POLR2L",1780.24172136655,-0.0520253431210228,0.0801316496525707,-0.649248372479423,0.516177850012967,0.803790919564692,"NOT"
"NUP62CL",350.744893184556,0.112272149201642,0.172836720130739,0.649585048343409,0.515960293585762,0.803790919564692,"NOT"
"NADK",1419.14785818969,-0.0560664018404538,0.0863722020109538,-0.649125535011176,0.516257238144624,0.803790919564692,"NOT"
"CHAF1B",690.633388058619,0.0785823729687725,0.121024192252461,0.64931127823474,0.516137197357442,0.803790919564692,"NOT"
"C5orf22",432.943876737609,0.103541305674646,0.159487604177033,0.649212245734875,0.516201197563759,0.803790919564692,"NOT"
"ADORA2B",30.677617212996,0.338409760455658,0.52151477865151,0.648897738489195,0.516404476593946,0.803790919564692,"NOT"
"UBE2B",297.105418276748,-0.121744825682382,0.187750487186701,-0.648439466158709,0.516700751209632,0.803858300442549,"NOT"
"S100A1",89.4384502861155,-0.196677507541023,0.303331136138396,-0.648392084125806,0.516731388877951,0.803858300442549,"NOT"
"RABEP1",530.615097136902,-0.0838483512963202,0.129409536459347,-0.647930234435702,0.51703007453019,0.803858300442549,"NOT"
"MYCBP2",580.689327158154,-0.0805700540361072,0.124280418187806,-0.648292427809136,0.516795830661777,0.803858300442549,"NOT"
"MTFR2",284.299647847234,0.116935938676871,0.18038834171269,0.64824554384517,0.516826149159301,0.803858300442549,"NOT"
"FOSL1",228.587986251172,0.12674843792075,0.195626020627213,0.647911957286516,0.517041896496769,0.803858300442549,"NOT"
"EFNB1",60.5937874931945,-0.244325548886953,0.37706931080195,-0.647959252815673,0.517011305243011,0.803858300442549,"NOT"
"DNAH1",43.0256164754909,0.282805394082838,0.436197089116964,0.648343148404196,0.51676303216408,0.803858300442549,"NOT"
"TAF1C",994.166788616684,-0.0752419362827623,0.116206370135309,-0.647485470849417,0.517317794818084,0.804142684352481,"NOT"
"LASP1",2449.4155226796,-0.0448270582399912,0.069244955159464,-0.647369301297966,0.517392959262932,0.804142684352481,"NOT"
"BET1",169.704096562289,0.157527089706451,0.243365995279431,0.647284718333717,0.517447689995845,0.804142684352481,"NOT"
"PI4K2A",316.310694784086,0.112698576809383,0.17419294511068,0.646975551953471,0.517647766440845,0.804338131489478,"NOT"
"PM20D2",49.9028416757328,-0.264679739551906,0.409520830776461,-0.646315693026083,0.518074926770504,0.80484982926433,"NOT"
"MKRN2",695.190483221049,0.0782490786975199,0.121084157541504,0.646237131977386,0.518125795483542,0.80484982926433,"NOT"
"TRPM4",333.260818055357,-0.107682843438138,0.166722036043639,-0.645882487963092,0.518355461583541,0.804975540341499,"NOT"
"TPCN1",298.446268566184,-0.109576606188568,0.16962848125728,-0.645979999209981,0.518292308429962,0.804975540341499,"NOT"
"LRRFIP2",564.099210612061,0.0815089285625039,0.12622042057355,0.645766573999075,0.518430538430195,0.804976638641291,"NOT"
"ZNF276",1282.01994301987,-0.0580270169019647,0.0899123953674037,-0.645372828349777,0.518685607319989,0.805257173498503,"NOT"
"ZNF148",156.95359781248,0.156209196011286,0.24217964692174,0.645013724302624,0.518918291860715,0.80550288127067,"NOT"
"ELOVL5",1903.18145498688,-0.0521246866448806,0.0808728266909723,-0.644526583002437,0.519234025388451,0.805761876817862,"NOT"
"AVIL",40.4349511074778,-0.303239236773655,0.470436278551919,-0.644591521952931,0.519191930426429,0.805761876817862,"NOT"
"PNRC2",263.153469805215,0.12859395923709,0.199590697562533,0.644288340125676,0.519388475138591,0.805886017044168,"NOT"
"USP53",98.0312625394538,-0.189614272485174,0.294567779647098,-0.643703370111754,0.519767804136152,0.806358995552487,"NOT"
"UHRF1BP1L",178.175360721645,0.14444366830806,0.224508444814118,0.643377439221283,0.519979218894835,0.80637684723824,"NOT"
"SUV39H1",564.594681046763,0.0834748182076595,0.129728834495035,0.643456164025387,0.519928150064586,0.80637684723824,"NOT"
"HARS",1139.02413710556,-0.0620690868162163,0.0964792845344831,-0.643341076954524,0.520002807993617,0.80637684723824,"NOT"
"TARBP2",506.912088627841,-0.0861596894127627,0.133949693113944,-0.643224238964632,0.5200786074129,0.806378863577887,"NOT"
"PTCD2",349.328034244684,-0.106391309151977,0.165464861743859,-0.642984305131028,0.520234283936162,0.806426203842144,"NOT"
"AAED1",151.831684073393,0.15693471247278,0.244086344727076,0.642947530097414,0.520258146843098,0.806426203842144,"NOT"
"METTL1",159.269194855112,-0.146699677198507,0.228274567011572,-0.64264573631223,0.520453998759071,0.806528462810094,"NOT"
"GAPDHS",179.197793339482,-0.161796439665438,0.251777702103405,-0.642616237711902,0.520473144191473,0.806528462810094,"NOT"
"GTDC1",52.6374183655489,0.255334249058024,0.397446801284054,0.642436291430956,0.52058994231603,0.806593978761624,"NOT"
"PRMT3",608.675836091245,0.0788995769925382,0.122850184652824,0.642242233623899,0.520715914972535,0.806650262776963,"NOT"
"GPR180",55.0993257813913,-0.263451585676739,0.41026440018181,-0.642150733916931,0.520775317469089,0.806650262776963,"NOT"
"CDS2",384.378214176169,0.0969713467703179,0.151084036117054,0.64183714747459,0.520978927304333,0.806850180160553,"NOT"
"PIP4K2C",599.612096399255,0.0843770887036551,0.131513069098106,0.641587100675991,0.521141310592243,0.80687811839559,"NOT"
"KCNJ14",42.1432116072016,-0.281880517713741,0.439383975232478,-0.641535726387378,0.521174676876922,0.80687811839559,"NOT"
"ISCU",517.736658979682,-0.0834764320678034,0.130134036739201,-0.641465016835654,0.521220602718215,0.80687811839559,"NOT"
"SLU7",386.730827808052,0.102844334132794,0.160396825590868,0.641186842407498,0.521401297176268,0.807042419653356,"NOT"
"DNAJB11",473.05059299381,0.0883667066316319,0.137898559737502,0.640809496486716,0.521646462223459,0.807306449400447,"NOT"
"WSB2",613.883466186387,0.08024325331393,0.125404354536737,0.639876131976128,0.522253132218192,0.807315162216438,"NOT"
"TECPR1",135.575672301994,-0.159038983278772,0.248269287938031,-0.640590644939009,0.521788679213693,0.807315162216438,"NOT"
"RNF38",160.451549833417,0.145388349332396,0.227184489368801,0.639957198382411,0.522200426148283,0.807315162216438,"NOT"
"MOCOS",220.938342747485,0.12618021112129,0.19715685028812,0.639999122205968,0.522173170061315,0.807315162216438,"NOT"
