"","x"
"764","DNAJC12"
"765","CYB561"
"766","ATP5J2"
"767","CEL"
"768","PYURF"
"769","BCL2"
"770","EXOSC5"
"771","TMEM203"
"772","ZNF618"
"773","NOL4L"
"774","C17orf49"
"775","TBC1D13"
"776","NAA10"
"777","C11orf68"
"778","ZNHIT2"
"779","HPCAL1"
"780","KM-PA-2"
"781","TNFAIP8L2"
"782","ZBED6CL"
"783","AMMECR1L"
"784","GMEB1"
"785","TOMM22"
"786","CYP26A1"
"787","PCK2"
"788","S100A16"
"789","MOB3A"
"790","TUBB2A"
"791","CCDC116"
"792","PEX5"
"793","PPM1J"
"794","FBXO31"
"795","COX8A"
"796","EPOP"
"797","FGD3"
"798","RABEPK"
"799","SCART1"
"800","TNFRSF1A"
"801","TBL2"
"802","ST6GALNAC6"
"803","RRS1"
"804","ZMYND8"
"805","TEAD2"
"806","AL391650.1"
"807","PTPRR"
"808","TBC1D9B"
"809","FAM171A1"
"810","RAB5C"
"811","PDLIM7"
"812","ABHD14B"
"813","SEMA6C"
"814","TET1"
"815","C11orf24"
"816","SLC25A29"
"817","AC099344.1"
"818","LRP12"
"819","SMARCA2"
"820","LSS"
"821","PELP1"
"822","CC2D2B"
"823","STON2"
"824","VANGL1"
"825","GP6"
"826","TACO1"
"827","RPS29"
"828","MARS2"
"829","RNF113A"
"830","TESMIN"
"831","HVCN1"
"832","SRXN1"
"833","FAM69C"
"834","DDX28"
"835","ZNF581"
"836","PUS1"
"837","GMFG"
"838","CTDP1"
"839","NBPF24"
"840","CIDEB"
"841","TMEM158"
"842","TMEM99"
"843","SLC25A32"
"844","ZNRF3"
"845","NDUFA1"
"846","ZKSCAN5"
"847","SLC25A19"
"848","C1QTNF12"
"849","PER2"
"850","DPH5"
"851","PYCR3"
"852","BAK1"
"853","FBXO27"
"854","KLHL6"
"855","TATDN2"
"856","IER5L"
"857","DLL4"
"858","FOSB"
"859","SLC35B4"
"860","GFOD1"
"861","IRF2BP1"
"862","COQ8A"
"863","TMEM145"
"864","NME2"
"865","QTRT2"
"866","FAM58A"
"867","NOTUM"
"868","PLXND1"
"869","SLCO4A1"
"870","NCKAP5L"
"871","PSEN2"
"872","BIN1"
"873","MSR1"
"874","VSIR"
"875","TRABD2A"
"876","OAF"
"877","SIN3A"
"878","SUSD3"
"879","PRSS8"
"880","KIF9"
"881","PTPN22"
"882","MAML1"
"883","P2RY1"
"884","KLHL33"
"885","SPRED2"
"886","KCNK1"
"887","TRAPPC12"
"888","P2RX5"
"889","TOMM40L"
"890","ATG101"
"891","PDXP"
"892","EPS8L1"
"893","LLGL2"
"894","IGBP1"
"895","ZNF74"
"896","ZNF324"
"897","KLC3"
"898","GRK3"
"899","SPATA32"
"900","BAG4"
"901","GAN"
"902","RPUSD3"
"903","ELMO1"
"904","MPZ"
"905","COL7A1"
"906","CYR61"
"907","CASKIN1"
"908","BBC3"
"909","IFFO2"
"910","HIP1R"
"911","PPP1R16A"
"912","PPP3CA"
"913","PGAM4"
"914","RITA1"
"915","ARL15"
"916","FLYWCH1"
"917","POTEI"
"918","AC026740.1"
"919","CAPN10"
"920","PDZD8"
"921","HIVEP1"
"922","TBC1D10C"
"923","USHBP1"
"924","LONRF2"
"925","ADRB1"
"926","SCRN1"
"927","POLG2"
"928","ZBTB45"
"929","SLC16A5"
"930","KCNN4"
"931","CR769776.1"
"932","YARS2"
"933","LDLRAD3"
"934","ETV2"
"935","RCN3"
"936","TMC8"
"937","GFER"
"938","SRCAP"
"939","RAP1GAP2"
"940","SPATA2"
"941","SRPX"
"942","PSD"
"943","FAM174B"
"944","TXNDC5"
"945","CCM2"
"946","ARHGAP39"
"947","ACE2"
"948","HOXB6"
"949","ALG2"
"950","ANKRD13D"
"951","CDR2L"
"952","CISD3"
"953","ZFP36"
"954","RGP1"
"955","CFD"
"956","NRARP"
"957","SIGMAR1"
"958","MAST4"
"959","MISP3"
"960","ITPRIPL1"
"961","NTSR1"
"962","ACVR2B"
"963","C15orf52"
"964","ACD"
"965","HS3ST3B1"
"966","DLG4"
"967","DLL3"
"968","BHLHA15"
"969","DOK2"
"970","SFN"
"971","FSCN2"
"972","RAB40B"
"973","GPR3"
"974","HDHD5"
"975","PDE4D"
"976","NPB"
"977","CERS6"
"978","MGST1"
"979","SLC30A1"
"980","ZNF710"
"981","TCF7"
"982","FAM84A"
"983","CDKN1C"
"984","DLX2"
"985","ATP23"
"986","PLCB2"
"987","PAGR1"
"988","LPAR5"
"989","SLC25A41"
"990","GFOD2"
"991","B3GALNT2"
"992","GLI1"
"993","USP2"
"994","DISP2"
"995","CCDC114"
"996","LRRC20"
"997","ERN1"
"998","HOMER1"
"999","DHODH"
"1000","MT1G"
"1001","FNDC3B"
"1002","AXIN2"
"1003","BCORL1"
"1004","PCED1B"
"1005","SNAI1"
"1006","GCNT3"
"1007","NTHL1"
"1008","ARHGEF40"
"1009","PARL"
"1010","AKNA"
"1011","TRMT61A"
"1012","SLC11A1"
"1013","MEX3A"
"1014","CYP1A1"
"1015","CALB1"
"1016","ZNF676"
"1017","PLEKHF1"
"1018","G0S2"
"1019","NCKAP1L"
"1020","RIPOR1"
"1021","COMMD5"
"1022","MRPL12"
"1023","MCAT"
"1024","MIF"
"1025","GDPGP1"
"1026","MSX1"
"1027","ECHDC2"
"1028","SLC39A11"
"1029","UBAP1L"
"1030","STK32C"
"1031","SLC29A3"
"1032","ZNF589"
"1033","SURF2"
