"","x"
"756","GLCE"
"757","ACVR1C"
"758","ZCRB1"
"759","OIP5"
"760","VGLL4"
"761","TMPRSS9"
"762","CENPM"
"763","C20orf196"
"764","PTH2R"
"765","ABCA8"
"766","ARL5B"
"767","RNF141"
"768","ID2"
"769","UBE2T"
"770","STK17A"
"771","FAM72C"
"772","MIER3"
"773","CD226"
"774","ANKRD9"
"775","ARL6IP5"
"776","ZFYVE19"
